# Generated by tools/generate_setup.py — do not hand-edit.
# Specialization variants of vanilla town_setup templates.

anatolian_city_commercial = {
	castle = 1
	cloth_guild = 4
	fine_cloth_guild = 4
	granary = 2
	market_village = 3
	marketplace = 3
	mason = 1
	naval_supplies_guild = 3
	scriptorium = 1
	slave_market = 2
	sul_rural_ropemaker = 1
	temple = 1
}

anatolian_city_commercial_tech0 = {
	castle = 1
	cloth_guild = 1
	fine_cloth_guild = 4
	granary = 2
	market_village = 3
	marketplace = 3
	mason = 1
	naval_supplies_guild = 3
	slave_market = 2
	sul_rural_ropemaker = 1
	temple = 1
}

anatolian_city_commercial_tech1 = {
	castle = 1
	cloth_guild = 1
	fine_cloth_guild = 4
	granary = 2
	market_village = 3
	marketplace = 3
	mason = 1
	naval_supplies_guild = 3
	slave_market = 2
	sul_rural_ropemaker = 1
	temple = 1
}

anatolian_city_farming = {
	brewery = 1
	castle = 1
	distillers_guild = 4
	farming_village = 3
	granary = 2
	mason = 1
	slave_market = 2
	sul_farmers_market = 1
	tannery = 3
	temple = 1
	winery = 3
}

anatolian_city_gathering = {
	apothecary = 1
	castle = 1
	fishing_village = 3
	glass_guild = 4
	granary = 2
	mason = 1
	pottery_guild = 3
	saltpeter_guild = 3
	slave_market = 2
	sul_rural_herbalist = 1
	temple = 1
}

anatolian_city_gathering_east_asia = {
	apothecary = 1
	castle = 1
	fishing_village = 3
	glass_guild = 3
	granary = 2
	mason = 1
	porcelain_guild = 3
	pottery_guild = 3
	saltpeter_guild = 2
	slave_market = 2
	sul_rural_herbalist = 1
	temple = 1
}

anatolian_city_gathering_tech0 = {
	castle = 1
	fishing_village = 3
	glass_guild = 1
	granary = 2
	mason = 1
	pottery_guild = 5
	saltpeter_guild = 4
	slave_market = 2
	sul_rural_herbalist = 1
	temple = 1
}

anatolian_city_gathering_tech1 = {
	castle = 1
	fishing_village = 3
	glass_guild = 1
	granary = 2
	mason = 1
	pottery_guild = 5
	saltpeter_guild = 4
	slave_market = 2
	sul_rural_herbalist = 1
	temple = 1
}

anatolian_city_mining = {
	castle = 1
	granary = 2
	jewelry_guild = 1
	mason = 2
	slave_market = 2
	sul_mining_village = 3
	temple = 1
	tools_guild = 5
	weapon_guild = 4
}

anatolian_city_mining_east_asia = {
	castle = 1
	granary = 2
	hand_cannon_guild = 1
	jewelry_guild = 4
	mason = 2
	slave_market = 2
	sul_mining_village = 3
	temple = 1
	tools_guild = 3
	weapon_guild = 3
}

anatolian_city_mining_tech0 = {
	castle = 1
	granary = 2
	jewelry_guild = 1
	mason = 2
	slave_market = 2
	sul_mining_village = 3
	temple = 1
}

anatolian_city_woodland = {
	castle = 1
	dyes_guild = 1
	forest_village = 3
	furniture_guild = 4
	granary = 2
	mason = 1
	paper_guild = 3
	slave_market = 2
	sul_rural_apiary = 1
	tannery = 3
	temple = 1
}

anatolian_city_woodland_east_asia = {
	castle = 1
	dyes_guild = 1
	forest_village = 3
	furniture_guild = 3
	granary = 2
	lacquerware_guild = 3
	mason = 1
	paper_guild = 3
	slave_market = 2
	sul_rural_apiary = 1
	tannery = 2
	temple = 1
}

anatolian_city_woodland_tech0 = {
	castle = 1
	dyes_guild = 1
	forest_village = 3
	furniture_guild = 5
	granary = 2
	mason = 1
	slave_market = 2
	sul_rural_apiary = 1
	tannery = 4
	temple = 1
}

anatolian_city_woodland_tech1 = {
	castle = 1
	dyes_guild = 1
	forest_village = 3
	furniture_guild = 5
	granary = 2
	mason = 1
	slave_market = 2
	sul_rural_apiary = 1
	tannery = 4
	temple = 1
}

anatolian_town_commercial = {
	cloth_guild = 2
	fine_cloth_guild = 2
	market_village = 2
	marketplace = 1
	mason = 1
	naval_supplies_guild = 1
	slave_market = 1
	temple = 1
}

anatolian_town_farming = {
	brewery = 2
	distillers_guild = 2
	farming_village = 2
	mason = 1
	slave_market = 1
	tannery = 1
	temple = 1
	winery = 1
}

anatolian_town_gathering = {
	apothecary = 2
	fishing_village = 2
	glass_guild = 2
	mason = 1
	pottery_guild = 1
	saltpeter_guild = 1
	slave_market = 1
	temple = 1
}

anatolian_town_gathering_east_asia = {
	apothecary = 2
	fishing_village = 2
	glass_guild = 1
	mason = 1
	porcelain_guild = 1
	pottery_guild = 1
	saltpeter_guild = 1
	slave_market = 1
	temple = 1
}

anatolian_town_gathering_tech0 = {
	fishing_village = 2
	glass_guild = 2
	mason = 1
	pottery_guild = 2
	saltpeter_guild = 2
	slave_market = 1
	temple = 1
}

anatolian_town_gathering_tech1 = {
	fishing_village = 2
	glass_guild = 2
	mason = 1
	pottery_guild = 2
	saltpeter_guild = 2
	slave_market = 1
	temple = 1
}

anatolian_town_mining = {
	jewelry_guild = 2
	mason = 1
	slave_market = 1
	sul_mining_village = 2
	temple = 1
	tools_guild = 2
	weapon_guild = 2
}

anatolian_town_mining_east_asia = {
	hand_cannon_guild = 2
	jewelry_guild = 2
	mason = 1
	slave_market = 1
	sul_mining_village = 2
	temple = 1
	tools_guild = 1
	weapon_guild = 1
}

anatolian_town_mining_tech0 = {
	jewelry_guild = 6
	mason = 1
	slave_market = 1
	sul_mining_village = 2
	temple = 1
}

anatolian_town_woodland = {
	dyes_guild = 2
	forest_village = 2
	furniture_guild = 2
	mason = 1
	paper_guild = 1
	slave_market = 1
	tannery = 1
	temple = 1
}

anatolian_town_woodland_east_asia = {
	dyes_guild = 2
	forest_village = 2
	furniture_guild = 1
	lacquerware_guild = 1
	mason = 1
	paper_guild = 1
	slave_market = 1
	tannery = 1
	temple = 1
}

anatolian_town_woodland_tech0 = {
	dyes_guild = 2
	forest_village = 2
	furniture_guild = 2
	mason = 1
	slave_market = 1
	tannery = 2
	temple = 1
}

anatolian_town_woodland_tech1 = {
	dyes_guild = 2
	forest_village = 2
